gender,tenure,monthly_charges,total_charges,contract_type,internet_service,has_paperless_billing,region,churn
Male,62,39.43,2486.84,One year,DSL,Yes,East,No
Female,51,27.09,1328.27,Two year,None,No,West,No
Male,3,59.68,143.95,Month-to-month,Fiber optic,No,North,Yes
Male,22,25.08,503.4,Month-to-month,Fiber optic,Yes,North,Yes
Male,14,108.66,1593.08,One year,None,No,West,No
Female,42,22.76,920.84,Month-to-month,Fiber optic,Yes,West,Yes
Male,28,77.89,2173.76,One year,None,Yes,South,No
Male,35,63.85,2204.72,Two year,Fiber optic,Yes,East,No
Male,12,87.2,1030.99,One year,DSL,No,West,No
Female,31,52.82,1600.55,Month-to-month,Fiber optic,No,West,Yes
Male,70,35.5,2508.14,Month-to-month,Fiber optic,Yes,East,Yes
Male,58,118.18,6802.4,Month-to-month,Fiber optic,No,West,Yes
Male,27,103.89,2737.41,Month-to-month,DSL,No,West,Yes
Male,65,106.04,6864.68,Month-to-month,DSL,Yes,South,Yes
Female,41,45.03,1806.32,Month-to-month,DSL,Yes,North,Yes
Male,44,23.88,983.83,Month-to-month,DSL,No,North,Yes
Female,61,50.33,3053.96,Month-to-month,Fiber optic,Yes,North,Yes
Female,56,73.71,4044.75,Month-to-month,DSL,No,North,Yes
Female,5,52.67,349.74,Month-to-month,Fiber optic,No,West,Yes
Male,27,102.79,2700.7,Month-to-month,Fiber optic,No,East,Yes
Female,27,47.15,1240.74,One year,Fiber optic,No,East,No
Male,43,116.53,4990.61,One year,None,Yes,South,No
Female,29,65.73,1990.4,Month-to-month,Fiber optic,Yes,South,Yes
Female,61,104.2,6269.68,Two year,Fiber optic,Yes,West,Yes
Female,61,39.44,2412.94,Month-to-month,Fiber optic,Yes,East,Yes
Female,0,61.14,51.86,One year,DSL,No,East,No
Female,26,89.95,2323.21,Month-to-month,None,No,North,Yes
Female,61,33.84,2005.75,Two year,DSL,Yes,West,No
Female,2,33.27,61.14,One year,DSL,No,West,No
Female,69,116.95,8145.91,One year,Fiber optic,No,North,Yes
Male,71,91.46,6462.87,One year,DSL,No,West,No
Male,26,24.11,698.67,Month-to-month,None,Yes,West,Yes
Female,8,59.88,491.97,Month-to-month,Fiber optic,Yes,South,Yes
Female,61,63.35,3925.98,One year,None,Yes,East,No
Female,36,94.4,3409.33,Month-to-month,Fiber optic,No,West,Yes
Male,50,45.09,2230.28,One year,Fiber optic,Yes,South,No
Female,43,38.43,1734.43,Month-to-month,None,Yes,East,Yes
Male,23,28.09,657.33,Month-to-month,DSL,Yes,North,No
Male,58,62.83,3652.46,Month-to-month,None,Yes,South,Yes
Male,31,88.85,2794.73,Month-to-month,DSL,Yes,South,Yes
Male,51,25.82,1363.03,One year,Fiber optic,Yes,East,No
Male,61,111.52,6843.36,Month-to-month,DSL,No,North,Yes
Female,57,64.24,3594.14,Month-to-month,Fiber optic,No,South,Yes
Female,51,43.98,2211.12,Month-to-month,DSL,Yes,West,No
Female,11,29.39,290.46,Month-to-month,None,Yes,West,Yes
Female,38,38.29,1416.07,One year,None,No,West,No
